Qty,Part (generic — verify on DigiKey),Package,Category,Populate,Notes,RefDes
2,74HCT74,DIP14,Logic IC,yes,,alu:U26 control:U3
2,74HCT86,DIP14,Logic IC,yes,,alu:U34 control:U19
1,62256 SRAM,DIP28W,Memory IC,yes,32Kx8 SRAM (e.g. AS6C62256-55),memory:U2
1,AT28C256,DIP28W,Memory IC,yes,"parallel EEPROM 32Kx8, 150ns",memory:U1
4,AT28C64,DIP28W,Memory IC,yes,parallel EEPROM 8Kx8 (microcode ROMs),control:U10 control:U11 control:U12 control:U13
1,2.4576MHZ full-can oscillator,OSC4,Oscillator,yes,,io:X2
1,4MHZ full-can oscillator,OSC4,Oscillator,yes,,control:X1
1,MAX232,DIP16,Peripheral IC,yes,RS-232 level shifter (+ its 1uF caps),io:U8
1,MC6850,DIP24W,Peripheral IC,yes,"ACIA — OBSOLETE, source NOS (eBay/specialist)",io:U14
2,Resistor 100R,R_AXIAL,Resistor,yes,,backplane:RT1 backplane:RT2
3,Resistor 10K,R_AXIAL,Resistor,yes,,control:R1 control:R2 control:R3
19,Resistor 1K,R_AXIAL,Resistor,yes,,alu:R4 alu:R5 alu:RP1 backplane:RL1 cf:R4 cf:RP1 control:R4 control:R5 control:RP1 io:R4 io:RP1 memory:RP1 memory:RS1 memory:RS2 memory:RS3 memory:RS4 regbank:R4 regbank:R5 regbank:RP1
1,Resistor 330R,R_AXIAL,Resistor,yes,,cf:R5
3,"Resistor network 8X10K (bussed, 9-pin SIP)",SIP9,Resistor network,yes,,backplane:RN1 cf:RN1 io:RNP
4,"Resistor network 8X330R (isolated, SIP)",SIP16,Resistor network,yes,,io:RL1 io:RM1 io:RM2 io:RM3
1,"DIP switch, 8-position",DIP16,Switch,yes,,io:SW1
3,Switch SPST (momentary/toggle),SW2P,Switch,yes,,control:SWR control:SWS control:SWT
1,74HCT244,DIP20,Logic IC,DNP,,control:U20
1,74HCT374,DIP20,Logic IC,DNP,,cf:U9
1,74HCT74,DIP14,Logic IC,DNP,,control:U21
1,DS1302,DIP8,Peripheral IC,DNP,RTC (DNP option),io:U16
